src,dst,weight
Gramercy,Yorkville East,10
Newark Airport,Brooklyn Heights,10
Financial District North,Union Sq,10
Brooklyn Heights,Seaport,10
Stuy Town/Peter Cooper Village,Union Sq,10
Upper East Side South,Washington Heights North,10
Lower East Side,Flatiron,10
Lincoln Square West,West Village,10
Yorkville West,Central Park,10
Manhattan Valley,Battery Park City,10
Yorkville West,Clinton West,10
Battery Park,Union Sq,10
Lenox Hill East,Greenwich Village South,10
World Trade Center,Times Sq/Theatre District,10
Clinton East,Lincoln Square East,10
East Harlem North,Upper West Side South,10
Washington Heights South,East Harlem North,10
UN/Turtle Bay South,SoHo,10
Lenox Hill East,East Harlem North,10
Newark Airport,Central Harlem,10
Penn Station/Madison Sq West,Union Sq,10
Midtown Center,Washington Heights South,10
Lincoln Square West,Sutton Place/Turtle Bay North,10
Greenwich Village North,Meatpacking/West Village West,10
Financial District South,Lenox Hill West,10
East Chelsea,Financial District North,10
Meatpacking/West Village West,Bedford,10
Greenwich Village South,Upper West Side South,10
Upper West Side South,LaGuardia Airport,10
Lenox Hill West,Upper East Side North,10
Gramercy,Central Park,10
Newark Airport,Newark Airport,10
Alphabet City,Flatiron,10
Union Sq,Central Harlem,10
Central Harlem,Lenox Hill East,10
Lenox Hill East,Midtown East,10
Alphabet City,Clinton West,10
East Harlem North,Bloomingdale,10
East Harlem North,Washington Heights South,10
Astoria,Upper West Side North,10
West Village,East Village,10
Manhattan Valley,Times Sq/Theatre District,10
Alphabet City,Upper East Side North,10
Upper East Side South,Midtown North,10
Astoria,Central Park,10
Washington Heights South,Midtown North,10
Clinton East,Murray Hill,10
Midtown South,Alphabet City,10
Times Sq/Theatre District,West Chelsea/Hudson Yards,10
SoHo,Lincoln Square West,10
SoHo,LaGuardia Airport,10
Bushwick South,Bloomingdale,10
West Chelsea/Hudson Yards,Seaport,10
Yorkville East,Yorkville East,10
Upper East Side South,Lincoln Square East,10
East Harlem North,Midtown East,10
East Village,JFK Airport,9
Astoria,Lincoln Square West,9
East Village,Yorkville West,9
Hudson Sq,Yorkville West,9
Murray Hill,Alphabet City,9
Manhattan Valley,Manhattan Valley,9
Meatpacking/West Village West,Times Sq/Theatre District,9
Stuy Town/Peter Cooper Village,Alphabet City,9
Gramercy,Midtown South,9
LaGuardia Airport,Seaport,9
West Chelsea/Hudson Yards,Lincoln Square West,9
West Chelsea/Hudson Yards,Alphabet City,9
Bushwick South,Clinton East,9
Bloomingdale,Brooklyn Heights,9
Greenwich Village South,Battery Park City,9
Lincoln Square West,Financial District North,9
Bushwick South,Greenwich Village South,9
Midtown South,Hudson Sq,9
Gramercy,Bushwick South,9
Flatiron,Yorkville West,9
Flatiron,TriBeCa/Civic Center,9
Central Harlem,Bloomingdale,9
JFK Airport,Meatpacking/West Village West,9
Hudson Sq,Lenox Hill West,9
Union Sq,Upper East Side South,9
Midtown North,SoHo,9
Manhattan Valley,Midtown Center,9
JFK Airport,West Chelsea/Hudson Yards,9
East Village,Washington Heights South,9
Penn Station/Madison Sq West,Brooklyn Heights,9
Lenox Hill East,Yorkville East,9
Bedford,Union Sq,9
Yorkville East,Times Sq/Theatre District,9
Financial District North,Financial District South,9
Upper East Side South,Brooklyn Heights,9
Union Sq,Manhattan Valley,9
Brooklyn Heights,Financial District South,9
JFK Airport,Gramercy,9
Penn Station/Madison Sq West,Bedford,9
Midtown East,Greenwich Village North,9
Financial District North,Times Sq/Theatre District,9
Union Sq,Midtown East,9
Upper West Side South,Meatpacking/West Village West,9
West Chelsea/Hudson Yards,Clinton East,9
Murray Hill,Brooklyn Heights,9
Lenox Hill West,Upper West Side South,9
Lincoln Square East,Astoria,9
Yorkville East,East Village,9
TriBeCa/Civic Center,Clinton East,9
LaGuardia Airport,Lenox Hill West,9
Union Sq,Washington Heights North,9
Midtown South,LaGuardia Airport,9
JFK Airport,Manhattan Valley,9
Financial District North,Meatpacking/West Village West,9
Upper East Side North,East Harlem North,9
Hudson Sq,Upper West Side South,9
Bushwick South,Stuy Town/Peter Cooper Village,9
Upper West Side North,Seaport,9
World Trade Center,Lenox Hill West,9
Gramercy,Lenox Hill East,9
LaGuardia Airport,Upper East Side North,9
Flatiron,East Harlem North,9
Clinton West,Times Sq/Theatre District,9
Financial District North,Yorkville West,9
Garment District,JFK Airport,9
East Village,TriBeCa/Civic Center,9
World Trade Center,SoHo,9
Newark Airport,West Village,9
Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,9
Lincoln Square West,Clinton East,9
Brooklyn Heights,Manhattan Valley,9
Midtown Center,Astoria,9
Alphabet City,UN/Turtle Bay South,9
Battery Park City,Newark Airport,9
East Harlem North,Penn Station/Madison Sq West,9
LaGuardia Airport,Sutton Place/Turtle Bay North,9
Newark Airport,Astoria,9
Financial District South,Upper East Side South,9
Brooklyn Heights,Bedford,9
Lincoln Square East,Brooklyn Heights,9
Washington Heights South,Upper East Side South,9
East Harlem North,East Harlem North,9
Greenwich Village North,Upper West Side North,9
East Village,Lincoln Square East,9
Lincoln Square West,Penn Station/Madison Sq West,9
East Harlem North,Bedford,9
Bushwick South,Yorkville West,9
Yorkville West,Hudson Sq,9
Clinton West,Battery Park,9
Battery Park City,Clinton East,9
Astoria,Brooklyn Heights,9
TriBeCa/Civic Center,Yorkville West,9
Penn Station/Madison Sq West,Upper West Side North,9
Manhattan Valley,Gramercy,9
LaGuardia Airport,LaGuardia Airport,9
Lincoln Square West,Lenox Hill East,9
Midtown North,Battery Park,9
Washington Heights North,Newark Airport,9
SoHo,Bloomingdale,9
Clinton East,Bushwick South,9
Flatiron,East Chelsea,9
East Harlem North,Midtown North,9
Upper East Side North,Garment District,9
Financial District North,Lenox Hill East,9
Bedford,Upper East Side South,9
Bushwick South,Bushwick South,9
Brooklyn Heights,SoHo,9
Central Park,Flatiron,9
Yorkville East,Murray Hill,9
Meatpacking/West Village West,Midtown East,9
Two Bridges/Seward Park,Central Harlem,9
Greenwich Village South,Central Harlem,9
Lenox Hill East,Midtown South,9
Lower East Side,Penn Station/Madison Sq West,9
Two Bridges/Seward Park,Manhattan Valley,9
SoHo,Alphabet City,9
Sutton Place/Turtle Bay North,Times Sq/Theatre District,9
Lenox Hill East,Midtown Center,9
Lincoln Square West,Central Harlem,9
Central Park,Upper East Side North,9
Union Sq,Washington Heights South,9
Greenwich Village North,Yorkville West,9
Lower East Side,Lincoln Square West,9
East Village,Manhattan Valley,9
Clinton East,West Chelsea/Hudson Yards,9
Manhattan Valley,Yorkville East,9
JFK Airport,Lenox Hill East,9
Clinton East,Washington Heights North,9
Astoria,World Trade Center,9
Greenwich Village South,Greenwich Village South,9
East Village,Clinton West,9
Murray Hill,Upper East Side South,9
Garment District,UN/Turtle Bay South,9
Bedford,Hudson Sq,9
East Chelsea,Murray Hill,9
Washington Heights South,Clinton East,9
Yorkville West,Lower East Side,9
Stuy Town/Peter Cooper Village,Newark Airport,9
TriBeCa/Civic Center,Seaport,9
Penn Station/Madison Sq West,Flatiron,8
East Village,LaGuardia Airport,8
Hudson Sq,Lincoln Square East,8
Yorkville East,SoHo,8
Brooklyn Heights,Midtown Center,8
LaGuardia Airport,Penn Station/Madison Sq West,8
Murray Hill,Greenwich Village South,8
JFK Airport,Upper East Side South,8
Lincoln Square West,Hudson Sq,8
Central Park,Newark Airport,8
Flatiron,Astoria,8
Seaport,Midtown South,8
Upper East Side South,Two Bridges/Seward Park,8
Bloomingdale,Seaport,8
Upper West Side South,East Village,8
Central Harlem,LaGuardia Airport,8
Sutton Place/Turtle Bay North,Meatpacking/West Village West,8
East Harlem North,LaGuardia Airport,8
Sutton Place/Turtle Bay North,Lincoln Square East,8
Brooklyn Heights,Upper East Side North,8
Washington Heights South,Yorkville West,8
Seaport,East Village,8
Stuy Town/Peter Cooper Village,Bloomingdale,8
Washington Heights South,East Chelsea,8
Union Sq,Astoria,8
Battery Park City,Manhattan Valley,8
Central Harlem,Lincoln Square East,8
Newark Airport,Flatiron,8
Midtown East,Gramercy,8
Central Harlem,Greenwich Village South,8
Upper East Side South,Central Park,8
Stuy Town/Peter Cooper Village,East Harlem North,8
Upper East Side North,Upper West Side North,8
Gramercy,Central Harlem,8
World Trade Center,Stuy Town/Peter Cooper Village,8
Central Harlem,Central Harlem,8
JFK Airport,Penn Station/Madison Sq West,8
Yorkville East,Greenwich Village South,8
Meatpacking/West Village West,Greenwich Village South,8
Lenox Hill West,Union Sq,8
Flatiron,Midtown South,8
East Chelsea,Stuy Town/Peter Cooper Village,8
Meatpacking/West Village West,Meatpacking/West Village West,8
Times Sq/Theatre District,East Village,8
Brooklyn Heights,Garment District,8
Union Sq,Yorkville West,8
Upper West Side North,Times Sq/Theatre District,8
Bushwick South,Battery Park City,8
Battery Park,Lenox Hill West,8
Upper West Side South,Lincoln Square West,8
Lenox Hill West,Bushwick South,8
Yorkville East,Upper West Side South,8
Two Bridges/Seward Park,Yorkville West,8
Midtown Center,Financial District South,8
Lincoln Square West,Midtown North,8
Upper East Side South,East Village,8
Midtown East,Lenox Hill West,8
Upper West Side South,Union Sq,8
West Chelsea/Hudson Yards,Midtown North,8
East Village,Garment District,8
Upper West Side North,Bloomingdale,8
Midtown South,Flatiron,8
Midtown Center,Washington Heights North,8
Yorkville East,Financial District North,8
Hudson Sq,Lower East Side,8
Upper East Side South,Times Sq/Theatre District,8
Manhattan Valley,Financial District South,8
Gramercy,Newark Airport,8
Midtown South,Upper East Side North,8
Washington Heights South,Astoria,8
Bushwick South,Upper East Side North,8
Sutton Place/Turtle Bay North,East Village,8
Hudson Sq,Astoria,8
Bedford,Lenox Hill West,8
West Chelsea/Hudson Yards,Central Park,8
Penn Station/Madison Sq West,Washington Heights South,8
Lenox Hill West,LaGuardia Airport,8
Washington Heights North,Bedford,8
Midtown East,Battery Park,8
Washington Heights South,Central Park,8
Sutton Place/Turtle Bay North,Stuy Town/Peter Cooper Village,8
Lenox Hill East,LaGuardia Airport,7
Seaport,East Harlem North,7
Clinton East,Washington Heights South,7
Financial District South,Two Bridges/Seward Park,7
Meatpacking/West Village West,Upper West Side North,7
Midtown South,World Trade Center,7
World Trade Center,Murray Hill,7
Penn Station/Madison Sq West,Astoria,7
Upper East Side South,Financial District North,7
Lower East Side,JFK Airport,7
Yorkville East,Brooklyn Heights,7
Seaport,Meatpacking/West Village West,7
West Village,East Chelsea,7
Clinton East,Newark Airport,7
Upper West Side North,Flatiron,7
Upper West Side South,Times Sq/Theatre District,7
Gramercy,East Chelsea,7
Lincoln Square East,UN/Turtle Bay South,7
Two Bridges/Seward Park,Two Bridges/Seward Park,7
Stuy Town/Peter Cooper Village,Penn Station/Madison Sq West,7
Yorkville West,Union Sq,7
Midtown North,Union Sq,7
Upper East Side North,Bedford,7
Washington Heights North,Washington Heights South,7
Manhattan Valley,West Chelsea/Hudson Yards,7
Financial District South,UN/Turtle Bay South,7
East Harlem North,Financial District South,7
Stuy Town/Peter Cooper Village,East Chelsea,7
Bushwick South,Bedford,7
Financial District South,Clinton East,7
Greenwich Village South,Washington Heights North,7
Lenox Hill West,Bedford,7
Stuy Town/Peter Cooper Village,Midtown Center,7
East Chelsea,Garment District,7
Lower East Side,East Chelsea,7
Midtown East,Two Bridges/Seward Park,7
Sutton Place/Turtle Bay North,Gramercy,7
Penn Station/Madison Sq West,Lenox Hill West,7
Hudson Sq,Union Sq,7
Clinton West,Seaport,7
Upper West Side South,Sutton Place/Turtle Bay North,7
Midtown Center,Midtown South,7
Financial District North,Lincoln Square West,7
Battery Park,Flatiron,7
Seaport,Lenox Hill West,7
Flatiron,Bloomingdale,7
World Trade Center,Midtown North,7
UN/Turtle Bay South,Murray Hill,7
LaGuardia Airport,Bloomingdale,7
Financial District South,Lincoln Square East,7
East Village,Meatpacking/West Village West,7
Midtown Center,Newark Airport,7
Upper West Side South,Greenwich Village North,7
Penn Station/Madison Sq West,Upper West Side South,6
Bushwick South,Lenox Hill East,6
East Harlem North,Seaport,6
Lower East Side,Midtown Center,6
SoHo,Midtown North,6
Midtown East,Times Sq/Theatre District,6
Bloomingdale,Upper East Side North,6
Yorkville East,Bedford,6
East Chelsea,Lenox Hill East,6
Midtown East,Hudson Sq,6
Murray Hill,Meatpacking/West Village West,6
West Chelsea/Hudson Yards,Bloomingdale,6
Central Park,TriBeCa/Civic Center,6
Penn Station/Madison Sq West,Lower East Side,6
Brooklyn Heights,Midtown East,6
Yorkville West,Alphabet City,6
Murray Hill,Penn Station/Madison Sq West,6
Manhattan Valley,Lenox Hill East,6
LaGuardia Airport,Central Harlem,6
Upper West Side South,Upper East Side South,6
JFK Airport,Sutton Place/Turtle Bay North,6
Stuy Town/Peter Cooper Village,Stuy Town/Peter Cooper Village,6
Two Bridges/Seward Park,Brooklyn Heights,6
Upper West Side North,Lenox Hill East,6
Gramercy,Meatpacking/West Village West,6
Penn Station/Madison Sq West,Greenwich Village South,6
JFK Airport,Bushwick South,6
Midtown Center,Battery Park City,6
Gramercy,Washington Heights North,6
Sutton Place/Turtle Bay North,Washington Heights South,6
Bushwick South,Lincoln Square West,6
Lincoln Square West,World Trade Center,6
Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North,6
Midtown Center,Midtown Center,6
West Chelsea/Hudson Yards,SoHo,5
Astoria,Newark Airport,5
UN/Turtle Bay South,Upper East Side South,5
Two Bridges/Seward Park,Financial District North,5
Flatiron,Stuy Town/Peter Cooper Village,5
Penn Station/Madison Sq West,TriBeCa/Civic Center,5
SoHo,Flatiron,5
Battery Park,Financial District South,5
Central Harlem,Bedford,4
Hudson Sq,Newark Airport,4
Battery Park,Bedford,4
West Village,Midtown South,2
